depth	min	max	median	mean
0	-86	-61	-73	-73
1	-81	-53	-67	-67
2	-78	-41	-62	-61
3	-76	-27	-57	-55
4	-70	-25	-51	-50
5	-66	-22	-45	-45
6	-64	-17	-39	-39
7	-54	-15	-34	-34
8	-47	-13	-29	-29
9	-43	-9	-23	-24
10	-40	-7	-20	-21
11	-37	-3	-17	-18
12	-35	2	-14	-15
13	-32	4	-12	-13
14	-30	7	-10	-10
15	-28	10	-8	-8
16	-25	12	-6	-6
17	-23	14	-4	-4
18	-21	18	-2	-1
19	-18	19	1	1
20	-16	21	3	3
21	-15	24	5	5
22	-12	25	7	7
23	-9	28	9	9
24	-8	30	11	11
25	-5	32	14	14
26	-3	35	16	16
27	-1	38	18	18
28	2	40	20	20
29	5	42	22	23
30	7	45	25	25
31	10	47	27	27
32	13	49	29	29
33	15	51	31	32
34	20	53	33	34
35	24	55	36	36
36	26	57	38	39
37	29	62	42	43
38	31	68	45	46
39	32	78	49	50
40	36	82	53	54
41	37	88	57	58
42	39	95	61	62
43	42	99	65	66
44	45	104	69	70
45	47	111	72	74
46	51	114	77	78
47	54	119	81	82
48	56	125	86	87
49	60	128	89	91
50	63	133	93	95
51	65	139	98	99
52	70	143	101	103
53	74	147	105	106
54	76	152	109	110
55	81	156	113	115
56	85	162	117	119
57	88	168	122	123
58	92	171	125	127
59	96	175	129	131
60	99	180	133	135
61	105	183	137	139
62	109	188	141	143
63	113	193	145	148
64	118	196	148	152
65	123	200	152	156
66	126	204	156	160
67	135	207	159	164
68	142	210	162	168
69	146	215	165	172
70	151	219	169	177
71	154	224	175	181
72	156	231	181	186
73	160	235	186	190
74	162	240	191	194
75	164	245	195	198
76	169	249	200	203
77	172	255	205	208
78	174	260	210	213
79	179	263	216	217
80	182	269	221	222
81	184	277	225	226
82	189	281	230	231
83	193	285	235	235
84	195	290	239	240
85	200	295	244	244
86	204	299	248	248
87	206	305	252	253
88	212	309	257	257
89	216	315	261	262
90	219	319	266	266
91	225	323	270	271
92	230	327	275	275
93	233	332	279	280
94	237	338	284	285
95	242	344	289	289
96	245	350	293	294
97	252	353	298	298
98	257	358	302	303
99	261	362	306	307
100	267	366	312	312
101	272	370	316	317
102	276	375	321	322
103	284	378	326	327
104	289	384	330	331
105	293	389	335	336
106	302	393	339	341
107	309	398	344	345
108	314	403	348	350
109	325	407	352	355
110	335	413	356	360
111	341	418	361	365
112	372	426	387	390
113	395	436	414	415
114	413	456	441	439
115	423	462	449	448
116	429	479	456	456
117	433	502	463	464
118	441	507	469	471
119	446	514	476	477
120	450	525	482	484
121	457	531	489	490
122	461	538	496	496
123	464	549	502	503
124	476	559	508	510
125	481	571	515	516
126	486	585	521	523
127	498	591	526	529
128	506	600	532	535
129	511	609	538	541
130	519	615	546	549
131	524	621	554	558
132	526	629	561	566
133	535	634	570	574
134	541	642	579	583
135	544	652	589	592
136	553	655	597	600
137	559	660	607	608
138	564	670	616	617
139	574	674	625	625
140	581	682	635	634
141	585	693	645	643
142	600	698	653	652
143	610	702	662	660
144	618	710	671	669
145	632	712	679	677
146	643	715	688	686
147	649	722	698	694
148	669	724	703	702
149	685	727	710	709
150	695	733	717	716
151	706	736	722	722
152	710	745	728	728
153	714	760	732	734
154	718	765	737	738
155	720	773	742	743
156	723	784	746	748
157	727	789	751	753
158	730	795	756	758
159	732	806	760	762
160	737	810	765	767
161	740	816	770	772
162	742	823	775	777
163	747	828	781	782
164	750	834	785	787
165	752	842	790	792
166	757	847	795	797
167	761	852	801	802
168	764	862	806	808
169	769	867	811	813
170	773	873	816	818
171	776	879	821	823
172	782	882	826	827
173	785	886	831	832
174	788	892	836	837
175	793	896	840	842
176	796	899	846	846
177	799	906	851	851
178	805	910	856	856
179	810	913	861	862
180	814	919	867	867
181	820	923	871	872
182	825	928	877	877
183	829	933	882	881
184	834	937	887	886
185	838	941	892	891
186	842	947	897	896
187	848	950	902	901
188	852	954	907	906
189	856	960	912	910
190	861	963	917	915
191	866	968	922	920
192	868	972	927	925
193	877	976	932	930
194	883	980	937	935
195	888	985	942	940
196	893	988	946	945
197	898	992	951	949
198	902	996	956	954
199	909	999	961	959
200	914	1002	966	964
201	919	1006	971	969
202	926	1009	976	974
203	934	1012	980	978
204	939	1016	985	983
205	946	1018	990	988
206	952	1020	995	993
207	957	1025	1000	997
208	968	1027	1004	1002
209	977	1029	1009	1007
210	982	1033	1014	1012
211	995	1035	1018	1017
212	1007	1036	1023	1022
213	1013	1041	1028	1027
214	1019	1045	1032	1032
215	1023	1050	1036	1036
216	1025	1059	1040	1041
217	1029	1062	1045	1045
218	1032	1066	1049	1049
219	1034	1072	1053	1053
220	1040	1074	1058	1058
221	1043	1076	1062	1062
222	1046	1080	1067	1066
223	1061	1082	1073	1073
224	1068	1091	1080	1080
225	1071	1108	1086	1087
226	1087	1188	1118	1123
227	1092	1290	1148	1159
228	1096	1393	1178	1194
229	1129	1420	1230	1240
230	1142	1469	1280	1286
231	1152	1548	1326	1332
232	1219	1567	1378	1382
233	1254	1590	1437	1431
234	1277	1649	1491	1481
235	1379	1671	1530	1526
236	1459	1694	1572	1571
237	1511	1727	1615	1616
238	1536	1735	1629	1632
239	1557	1747	1644	1648
240	1574	1767	1658	1664
241	1585	1773	1666	1672
242	1595	1781	1675	1680
243	1602	1788	1683	1688
244	1613	1794	1690	1696
245	1622	1800	1698	1704
246	1629	1809	1705	1712
247	1639	1816	1715	1722
248	1647	1826	1727	1733
249	1656	1837	1738	1743
250	1663	1849	1748	1753
