CGG3_017665,2420925 CGG3_017665.koutput.txt
CGG3_017657,2720983 CGG3_017657.koutput.txt
CGG3_017641,3780396 CGG3_017641.koutput.txt
CGG3_017633,4199037 CGG3_017633.koutput.txt
CGG3_017625,4004990 CGG3_017625.koutput.txt
CGG3_017619,3317659 CGG3_017619.koutput.txt
CGG3_016656,1786629 CGG3_016656.koutput.txt
CGG3_016643,4301219 CGG3_016643.koutput.txt
CGG3_017497,5341729 CGG3_017497.koutput.txt
CGG3_017417,1445942 CGG3_017417.koutput.txt
CGG3_017392,1628329 CGG3_017392.koutput.txt
CGG3_017666,4386493 CGG3_017666.koutput.txt
CGG3_017658,2757112 CGG3_017658.koutput.txt
CGG3_017650,3464058 CGG3_017650.koutput.txt
CGG3_017642,4067443 CGG3_017642.koutput.txt
CGG3_017634,4362590 CGG3_017634.koutput.txt
CGG3_017626,5151414 CGG3_017626.koutput.txt
CGG3_017620,4029964 CGG3_017620.koutput.txt
CGG3_016658,2530748 CGG3_016658.koutput.txt
CGG3_016645,4113800 CGG3_016645.koutput.txt
CGG3_017508,3891825 CGG3_017508.koutput.txt
CGG3_017420,2248510 CGG3_017420.koutput.txt
CGG3_017396,1903790 CGG3_017396.koutput.txt
CGG3_017667,2935302 CGG3_017667.koutput.txt
CGG3_017659,2577870 CGG3_017659.koutput.txt
CGG3_017651,2477960 CGG3_017651.koutput.txt
CGG3_017643,2427730 CGG3_017643.koutput.txt
CGG3_017635,4603516 CGG3_017635.koutput.txt
CGG3_017627,4394923 CGG3_017627.koutput.txt
CGG3_017621,4285512 CGG3_017621.koutput.txt
CGG3_016660,2841370 CGG3_016660.koutput.txt
CGG3_016647,3321792 CGG3_016647.koutput.txt
CGG3_016617,3903858 CGG3_016617.koutput.txt
CGG3_017431,2471697 CGG3_017431.koutput.txt
CGG3_017399,1610693 CGG3_017399.koutput.txt
CGG3_017668,3826734 CGG3_017668.koutput.txt
CGG3_017660,1555017 CGG3_017660.koutput.txt
CGG3_017652,1377409 CGG3_017652.koutput.txt
CGG3_017644,3250638 CGG3_017644.koutput.txt
CGG3_017636,3310176 CGG3_017636.koutput.txt
CGG3_017628,4250315 CGG3_017628.koutput.txt
CGG3_017622,4656733 CGG3_017622.koutput.txt
CGG3_016662,3309536 CGG3_016662.koutput.txt
CGG3_016649,2676124 CGG3_016649.koutput.txt
CGG3_016628,4485333 CGG3_016628.koutput.txt
CGG3_017442,1880901 CGG3_017442.koutput.txt
CGG3_017402,1569003 CGG3_017402.koutput.txt
CGG3_017661,2357241 CGG3_017661.koutput.txt
CGG3_017653,1180595 CGG3_017653.koutput.txt
CGG3_017645,2286994 CGG3_017645.koutput.txt
CGG3_017637,4039831 CGG3_017637.koutput.txt
CGG3_017629,4778435 CGG3_017629.koutput.txt
CGG3_017623,4620221 CGG3_017623.koutput.txt
CGG3_016664,3325267 CGG3_016664.koutput.txt
CGG3_016651,2588266 CGG3_016651.koutput.txt
CGG3_016635,4281305 CGG3_016635.koutput.txt
CGG3_017453,2342063 CGG3_017453.koutput.txt
CGG3_017405,1664486 CGG3_017405.koutput.txt
CGG3_017670,3682477 CGG3_017670.koutput.txt
CGG3_017662,2632001 CGG3_017662.koutput.txt
CGG3_017654,1807003 CGG3_017654.koutput.txt
CGG3_017646,2534046 CGG3_017646.koutput.txt
CGG3_017638,3132274 CGG3_017638.koutput.txt
CGG3_017630,4901463 CGG3_017630.koutput.txt
CGG3_017624,4402990 CGG3_017624.koutput.txt
CGG3_016666,3075806 CGG3_016666.koutput.txt
CGG3_016652,1959518 CGG3_016652.koutput.txt
CGG3_016637,4623504 CGG3_016637.koutput.txt
CGG3_017464,3529692 CGG3_017464.koutput.txt
CGG3_017408,1620269 CGG3_017408.koutput.txt
CGG3_017663,2997671 CGG3_017663.koutput.txt
CGG3_017655,1668387 CGG3_017655.koutput.txt
CGG3_017647,1778913 CGG3_017647.koutput.txt
CGG3_017639,4409408 CGG3_017639.koutput.txt
CGG3_017631,4275642 CGG3_017631.koutput.txt
CGG3_016668,3292889 CGG3_016668.koutput.txt
CGG3_016653,2363472 CGG3_016653.koutput.txt
CGG3_016639,4613808 CGG3_016639.koutput.txt
CGG3_017475,2272576 CGG3_017475.koutput.txt
CGG3_017411,1640222 CGG3_017411.koutput.txt
CGG3_017664,3178476 CGG3_017664.koutput.txt
CGG3_017656,1709265 CGG3_017656.koutput.txt
CGG3_017648,2232403 CGG3_017648.koutput.txt
CGG3_017640,4162504 CGG3_017640.koutput.txt
CGG3_017632,4306669 CGG3_017632.koutput.txt
CGG3_016670,2874555 CGG3_016670.koutput.txt
CGG3_016654,2351123 CGG3_016654.koutput.txt
CGG3_016641,3876902 CGG3_016641.koutput.txt
CGG3_017486,2452663 CGG3_017486.koutput.txt
CGG3_017414,2319704 CGG3_017414.koutput.txt
CGG3_017669,3799278 CGG3_017669.koutput.txt
CGG3_017649,4194400 CGG3_017649.koutput.txt
