taxa	CGG3_016617	CGG3_016628	CGG3_016635	CGG3_016637	CGG3_016641	CGG3_016643	CGG3_016645	CGG3_016647	CGG3_016649	CGG3_016651	CGG3_016652	CGG3_016653	CGG3_016654	CGG3_016656	CGG3_016658	CGG3_016660	CGG3_016662	CGG3_016664	CGG3_016666	CGG3_016668	CGG3_016670	CGG3_017392	CGG3_017396	CGG3_017399	CGG3_017402	CGG3_017405	CGG3_017408	CGG3_017411	CGG3_017414	CGG3_017417	CGG3_017420	CGG3_017431	CGG3_017442	CGG3_017453	CGG3_017464	CGG3_017475	CGG3_017486	CGG3_017497	CGG3_017508
3246:Selaginella:genus	4	6	3	5	4	1	1	3	1	5	1	4	3	0	1	4	2	2	1	4	2	2	1	2	4	1	2	2	4	2	2	1	5	0	1	2	2	2	6
3251:Lycopodium:genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3257:Equisetum:genus	258	84	251	192	208	166	369	81	65	53	30	65	9	82	352	16	13	0	2	2	5	6	13	2	6	9	16	11	32	21	141	311	288	84	276	130	70	202	705
3278:Polystichum:genus	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3287:Dryopteris:genus	2	4	14	18	12	8	5	4	4	14	7	1	4	220	79	42	1	0	39	11	5	1	2	2	1	2	1	0	0	2	0	3	1	2	1	1	1	1	1
3325:Larix:genus	0	1	0	1	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0
3328:Picea:genus	34	39	30	37	32	23	26	23	34	46	24	26	29	22	33	16	20	24	12	30	22	12	11	13	13	21	15	19	30	12	21	32	23	23	31	27	19	46	32
3337:Pinus:genus	2	1	3	0	2	1	2	1	1	0	2	1	2	1	1	1	0	0	0	3	0	0	1	2	1	2	3	2	1	0	0	0	2	0	2	4	0	1	4
3445:Ranunculus:genus	72	59	230	125	156	118	81	60	131	218	197	135	26	82	81	34	13	2	4	4	12	1	6	4	7	8	8	8	19	9	130	197	230	62	338	77	81	47	298
3448:Caltha:genus	1	1	10	11	15	2	1	4	8	14	27	18	3	12	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	0	4	4	3	1	17
3468:Papaver:genus	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	1	0
3500:Urtica:genus	0	1	1	1	1	2	1	0	3	7	4	0	1	4	1	0	1	2	1	2	0	0	0	0	0	1	0	1	0	1	0	2	1	3	1	2	0	0	3
3504:Betula:genus	76	145	351	262	403	265	360	178	281	203	198	299	36	160	142	88	11	2	4	6	12	7	3	4	3	9	2	1	4	4	38	5	10	1	28	3	3	21	78
3515:Alnus:genus	1	3	8	2	4	4	7	3	3	4	6	3	1	1	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1
3550:Atriplex:genus	2	5	6	3	9	7	11	7	8	41	17	8	8	23	20	24	8	1	2	1	0	2	0	0	1	1	1	0	0	1	1	10	10	8	2	2	6	1	5
3573:Silene:genus	3	2	9	3	6	3	2	2	9	8	3	3	2	1	4	30	3	0	1	5	3	0	1	0	1	0	0	1	1	1	3	2	3	0	1	5	0	4	4
3577:Arenaria:genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3579:Cerastium:genus	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
3618:Rumex:genus	3	14	19	15	27	20	7	7	6	20	8	5	0	0	24	6	3	0	1	1	1	1	0	2	2	4	1	2	0	2	30	5	11	2	4	0	0	8	8
3689:Populus:genus	1149	1874	3698	2425	2553	2315	10298	2589	6090	3597	6020	7526	1398	2130	1287	864	675	545	476	3146	546	728	1204	324	248	335	3181	249	458	220	509	825	757	512	762	728	491	1375	2365
3701:Arabidopsis:genus	126	180	198	162	166	170	191	159	154	177	112	145	153	140	107	143	178	164	148	183	142	68	92	61	77	96	85	74	126	76	133	137	114	115	163	147	115	214	172
3718:Capsella:genus	6	1	3	6	11	6	5	7	0	3	1	1	1	1	2	0	1	1	1	3	0	0	0	2	0	3	0	0	0	0	23	1	1	0	2	1	0	3	2
3746:Fragaria:genus	64	90	388	360	306	118	242	67	228	124	57	71	8	41	13	9	6	5	5	2	6	4	3	6	2	3	5	0	5	16	21	15	22	15	69	76	22	48	178
3761:Geum:genus	0	10	2	2	1	1	0	0	10	5	6	6	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
3764:Rosa:genus	14	9	31	30	21	11	20	12	20	19	9	4	3	5	9	3	4	1	0	4	3	13	41	1	2	2	3	3	3	1	5	2	6	4	7	6	3	2	15
3784:Sedum:genus	1	1	2	2	5	0	2	3	3	21	8	5	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	3	2	2	0	0	3
3796:Parnassia:genus	10	13	9	11	14	6	3	3	8	11	9	5	3	2	3	0	1	1	1	0	0	0	1	0	0	2	0	0	0	0	2	1	6	2	3	4	3	9	6
3798:Saxifraga:genus	2	2	0	3	3	2	3	3	11	29	13	10	3	7	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	5	0	5	7	3	0	2
3801:Ribes:genus	0	0	0	0	0	0	1	0	1	4	3	1	2	2	0	1	0	0	0	0	0	1	0	1	0	1	6	4	5	3	0	1	3	0	1	1	1	0	0
3853:Lathyrus:genus	0	1	1	1	2	2	3	4	5	12	5	2	3	3	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	5	0	1	3	2	1	2
3869:Lupinus:genus	6	5	4	3	5	1	1	2	4	8	1	0	2	3	3	2	0	1	2	3	0	1	1	0	1	2	4	2	0	2	3	5	4	2	6	7	0	6	2
3898:Trifolium:genus	1	3	1	1	4	2	2	1	7	5	5	5	3	5	4	1	2	0	5	2	1	7	7	0	137	0	2	0	3	3	6	4	2	5	2	4	1	5	6
3904:Vicia:genus	0	1	0	0	1	1	0	0	1	2	2	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1
4005:Linum:genus	0	2	3	4	1	3	2	2	3	19	3	1	1	3	1	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	1	2	1	1	1	3	0	2	1
4028:Geranium:genus	63	69	244	145	181	104	133	93	111	83	48	25	16	23	31	15	5	2	5	5	4	0	1	0	0	2	1	3	2	0	3	6	10	5	4	11	5	21	14
4034:Oxalis:genus	1	1	0	1	4	0	3	4	3	15	7	6	3	2	0	1	1	0	2	1	2	2	0	1	0	1	0	0	1	0	2	2	2	3	0	0	0	2	2
4048:Hydrocotyle:genus	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0
4154:Mimulus:genus	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4173:Veronica:genus	1	2	0	0	1	0	1	0	3	4	0	1	0	3	1	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	3	0	0	0	1	2	0	0
4197:Pinguicula:genus	0	0	0	0	0	0	1	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
4281:Cornus:genus	0	0	1	2	1	0	0	0	3	15	5	5	2	4	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	2	0	3	0
4363:Drosera:genus	1	0	1	0	1	1	1	3	3	12	2	1	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	3	2	4	4	2	0	3	1
