taxa	CGG3_017619	CGG3_017620	CGG3_017621	CGG3_017622	CGG3_017623	CGG3_017624	CGG3_017625	CGG3_017626	CGG3_017627	CGG3_017628	CGG3_017629	CGG3_017630	CGG3_017631	CGG3_017632	CGG3_017633	CGG3_017634	CGG3_017635	CGG3_017636	CGG3_017637	CGG3_017638	CGG3_017639	CGG3_017640	CGG3_017641	CGG3_017642	CGG3_017643	CGG3_017644	CGG3_017645	CGG3_017646	CGG3_017647	CGG3_017648	CGG3_017649	CGG3_017650	CGG3_017651	CGG3_017652	CGG3_017653	CGG3_017654	CGG3_017655	CGG3_017656	CGG3_017657	CGG3_017658	CGG3_017659	CGG3_017660	CGG3_017661	CGG3_017662	CGG3_017663	CGG3_017664	CGG3_017665	CGG3_017666	CGG3_017667	CGG3_017668	CGG3_017669	CGG3_017670
3246:Selaginella:genus	5	5	3	0	5	5	0	4	1	3	5	3	2	8	4	6	2	0	3	4	3	3	2	1	2	3	2	2	1	2	7	2	3	3	1	4	6	1	9	4	4	0	0	0	1	2	1	3	3	8	2	3
3257:Equisetum:genus	16	7	10	8	8	25	3	58	11	30	20	19	15	16	25	6	10	37	21	11	16	14	19	19	39	69	75	91	78	78	28	87	35	23	17	55	74	15	10	23	11	1	2	2	0	0	1	9	1	0	0	19
3278:Polystichum:genus	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	2	0	0	0
3287:Dryopteris:genus	1	0	1	1	3	1	0	1	1	5	1	3	0	0	1	0	0	0	1	0	1	0	4	1	3	5	2	0	26	2	1	2	2	0	1	1	2	2	0	0	24	0	2	1	1	0	1	1	0	2	1	2
3325:Larix:genus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
3328:Picea:genus	30	19	28	32	41	35	31	34	31	36	29	33	22	30	24	38	35	26	38	33	42	31	39	40	41	32	37	26	18	29	45	33	21	11	10	11	13	10	16	9	13	6	11	11	18	21	26	84	25	23	22	27
3337:Pinus:genus	2	3	2	2	2	7	2	2	1	1	1	0	1	0	0	0	0	0	3	0	3	4	1	5	3	1	0	2	2	2	1	0	0	0	0	2	1	2	1	2	1	0	0	1	0	0	0	2	2	2	1	1
3445:Ranunculus:genus	26	4	4	5	15	14	29	11	19	25	88	122	25	63	24	21	26	10	26	101	64	45	87	74	122	383	709	656	944	471	33	308	133	108	46	120	2023	3714	5099	1219	287	19	11	7	18	119	195	10	3	4	12	617
3448:Caltha:genus	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	7	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3468:Papaver:genus	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	1	1	2	0	1	2	2	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1
3500:Urtica:genus	0	0	0	1	0	2	0	0	1	0	1	0	1	2	0	3	2	0	0	2	2	1	0	0	5	5	3	2	6	1	5	3	2	0	1	0	1	0	0	0	1	0	0	1	0	4	2	0	1	0	3	1
3504:Betula:genus	0	0	1	3	1	15	0	5	4	8	14	16	9	2	6	4	2	2	5	13	16	16	25	31	25	47	92	1049	101	68	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	32
3515:Alnus:genus	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	2	0	2	19	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1
3550:Atriplex:genus	3	2	0	2	3	4	4	2	4	5	2	4	5	2	0	3	7	4	2	14	6	3	5	5	14	12	12	9	10	11	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
3573:Silene:genus	0	0	3	4	2	0	1	2	4	2	2	3	3	0	2	2	3	4	2	2	2	2	1	1	10	4	6	5	4	3	15	8	25	35	15	29	37	62	32	35	8	0	0	1	1	0	0	1	0	0	0	11
3577:Arenaria:genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3579:Cerastium:genus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
3618:Rumex:genus	0	1	0	1	0	1	2	0	1	0	0	0	3	1	3	1	8	1	2	0	2	2	2	4	3	6	5	6	8	5	4	34	47	24	18	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
