file                                                     format  type     num_seqs         sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
LV7001883305-LV7001308371-CGG3-017665_S89.cleaned.fq.gz  FASTQ   DNA    46,711,315   3,988,192,009       30     85.4      194   49  101  101        0  101    88.8   82.91
LV7001883306-LV7001308354-CGG3-017657_S81.cleaned.fq.gz  FASTQ   DNA    52,494,354   4,602,263,237       30     87.7      194   55  101  101        0  101   93.28   88.87
LV7001883307-LV7001308337-CGG3-017649_S73.cleaned.fq.gz  FASTQ   DNA    59,326,605   4,751,734,184       30     80.1      194   47   79  101        0  101   93.92   90.43
LV7001883308-LV7001308367-CGG3-017641_S65.cleaned.fq.gz  FASTQ   DNA    41,008,686   2,372,587,112       30     57.9      194   37   49   74        0   64    89.2   86.02
LV7001883309-LV7001308350-CGG3-017633_S57.cleaned.fq.gz  FASTQ   DNA    42,373,783   2,673,543,572       30     63.1      194   36   49   95        0   85   88.26   84.13
LV7001883310-LV7001308333-CGG3-017625_S49.cleaned.fq.gz  FASTQ   DNA    48,413,586   2,670,434,837       30     55.2      194   36   46   65        0   58   97.78    96.6
LV7001883311-LV7001308311-CGG3-017619_S41.cleaned.fq.gz  FASTQ   DNA    98,045,623   7,948,691,899       30     81.1      194   47   82  101        0  101   96.71   93.81
LV7001883312-LV7001308316-CGG3-016656_S33.cleaned.fq.gz  FASTQ   DNA   104,392,733  10,244,552,408       30     98.1      194   81  101  101        0  101   95.49   91.12
LV7001883313-LV7001308330-CGG3-016643_S25.cleaned.fq.gz  FASTQ   DNA    60,240,920   4,941,630,018       30       82      194   47   95  101        0  101   92.52   87.99
LV7001883314-LV7000631919-CGG3-017497_S17.cleaned.fq.gz  FASTQ   DNA    39,976,523   2,193,040,997       30     54.9      194   35   45   68        0   59   86.72   83.08
LV7001883315-LV7001308201-CGG3-017417_S9.cleaned.fq.gz   FASTQ   DNA    93,553,112   9,035,489,952       30     96.6      194   79  101  101        0  101   97.26   93.17
LV7001883316-LV7001308189-CGG3-017392_S1.cleaned.fq.gz   FASTQ   DNA    86,435,327   7,411,052,353       30     85.7      194   52   89  101        0  101   98.39      96
