Huperzia selago                        ,lycopsida
Lycopodium annotinum,lycopsida
Lycopodium clavatum,lycopsida
Diphasiastrum alpinum,lycopsida
Selaginella selaginoides,lycopsida
Isoetes echinospora,lycopsida
Isoetes lacustris,lycopsida
Equisetum arvense,sphenopsida
Equisetum fluviatile,sphenopsida
Equisetum hyemale,sphenopsida
Equisetum palustre,sphenopsida
Equisetum pratense,sphenopsida
Equisetum sylvaticum,sphenopsida
Equisetum variegatum,sphenopsida
Ophioglossum azoricum,filicopsida
Botrychium boreale,filicopsida
Botrychium lanceolatum,filicopsida
Botrychium lunaria,filicopsida
Botrychium minganense,filicopsida
Botrychium simplex,filicopsida
Cryptogramma crispa,filicopsida
Hymenophyllum wilsonii,filicopsida
Asplenium septentrionale,filicopsida
Asplenium trichomanes,filicopsida
Asplenium viride,filicopsida
Athyrium distentifolium,filicopsida
Athyrium filix-femina,filicopsida
Woodsia alpina,filicopsida
Woodsia ilvensis,filicopsida
Cystopteris fragilis,filicopsida
Gymnocarpium dryopteris,filicopsida
Dryopteris expansa,filicopsida
Dryopteris filix-mas,filicopsida
Polystichum lonchitis,filicopsida
Phegopteris connectilis,filicopsida
Phegopteris connectilis,filicopsida
Polypodium vulgare,filicopsida
Pinus contorta ,coniferopsida
Picea sitchensis,coniferopsida
Larix sibirica ,coniferopsida
Juniperus communis,coniferopsida
Salix alaxensis,magnoliopsida
Salix arctica,magnoliopsida
Salix caprea,magnoliopsida
Salix herbacea,magnoliopsida
Salix lanata,magnoliopsida
Salix myrsinifolia ,magnoliopsida
Salix phylicifolia,magnoliopsida
Populus tremula,magnoliopsida
Populus trichocarpa ,magnoliopsida
Betula nana,magnoliopsida
Betula pubescens,magnoliopsida
Alnus sinuata,magnoliopsida
Urtica dioica,magnoliopsida
Urtica urens,magnoliopsida
Rumex acetosa,magnoliopsida
Rumex acetosella,magnoliopsida
Rumex longifolius,magnoliopsida
Oxyria digyna,magnoliopsida
Persicaria amphibia,magnoliopsida
Persicaria maculosa,magnoliopsida
Bistorta vivipara,magnoliopsida
Koenigia islandica,magnoliopsida
Polygonum aviculare,magnoliopsida
