Huperzia selago                        
Lycopodium annotinum
Lycopodium clavatum
Diphasiastrum alpinum
Selaginella selaginoides
Isoetes echinospora
Isoetes lacustris
Equisetum arvense
Equisetum fluviatile
Equisetum hyemale
Equisetum palustre
Equisetum pratense
Equisetum sylvaticum
Equisetum variegatum
Ophioglossum azoricum
Botrychium boreale
Botrychium lanceolatum
Botrychium lunaria
Botrychium minganense
Botrychium simplex
Cryptogramma crispa
Hymenophyllum wilsonii
Asplenium septentrionale
Asplenium trichomanes
Asplenium viride
Athyrium distentifolium
Athyrium filix-femina
Woodsia alpina
Woodsia ilvensis
Cystopteris fragilis
Gymnocarpium dryopteris
Dryopteris expansa
Dryopteris filix-mas
Polystichum lonchitis
Phegopteris connectilis
Phegopteris connectilis
Polypodium vulgare
Pinus contorta 
Picea sitchensis
Larix sibirica 
Juniperus communis
Salix alaxensis
Salix arctica
Salix caprea
Salix herbacea
Salix lanata
Salix myrsinifolia 
Salix phylicifolia
Populus tremula
Populus trichocarpa 
Betula nana
Betula pubescens
Alnus sinuata
Urtica dioica
Urtica urens
Rumex acetosa
Rumex acetosella
Rumex longifolius
Oxyria digyna
Persicaria amphibia
Persicaria maculosa
Bistorta vivipara
Koenigia islandica
Polygonum aviculare
Armeria maritima
Atriplex glabriuscula
Atriplex longipes
Montia fontana
Spergula arvensis
Spergularia salina
Sagina caespitosa
Sagina nivalis
Sagina nodosa
Sagina procumbens
Sagina saginoides
Sagina subulata
Minuartia biflora
Minuartia rubella
Minuartia stricta
Honkenya peploides
Arenaria norvegica
Stellaria alsine
Stellaria borealis
Stellaria crassifolia
Stellaria graminea
Stellaria humifusa
Stellaria media
Cerastium alpinum
Cerastium cerastoides
Cerastium fontanum
Cerastium glomeratum
Cerastium nigrescens
Viscaria alpina
Lychnis flos-cuculi
Silene acaulis
Silene dioica
Silene uniflora
Caltha palustris
Thalictrum alpinum
Beckwithia glacialis
Ranunculus acris
Ranunculus auricomus
Ranunculus hyperboreus
Ranunculus pygmaeus
Ranunculus repens
Ranunculus reptans
Batrachium eradicatum
Papaver croceum
Papaver radicatum
Arabidopsis petraea
Erysimum strictum
Barbarea stricta
Rorippa islandica
Cardamine bellidifolia
Cardamine hirsuta
Cardamine pratensis
Arabis alpina
Draba arctogena
Draba glabella
Draba incana
Draba lactea
Draba nivalis
Draba norvegica
Draba oxycarpa
Draba verna
Cochlearia officinalis
Cochlearia groenlandica
Capsella bursa-pastoris
Subularia aquatica
Cakile maritima
Drosera rotundifolia
Tillaea aquatica
Rhodiola rosea
Sedum acre
Sedum annuum
Sedum villosum
Parnassia palustris
Saxifraga aizoides
Saxifraga cespitosa
Saxifraga cernua
Saxifraga cotyledon
Saxifraga foliolosa
Saxifraga granulata
Saxifraga hirculus
Saxifraga hypnoides
Saxifraga nivalis
Saxifraga oppositifolia
Saxifraga paniculata
Saxifraga rivularis
Saxifraga rosacea
Saxifraga stellaris
Saxifraga tenuis
Ribes x pallidum
Filipendula ulmaria
Geum rivale
Dryas octopetala
Sibbaldia procumbens
Potentilla crantzii
Potentilla erecta
Argentina anserina
Argentina egedii
Comarum palustre
Fragaria vesca
Rubus saxatilis
Rosa dumalis
Rosa pimpinellifolia
Alchemilla alpina
Alchemilla faeroensis
Alchemilla filicaulis
Alchemilla glabra
Alchemilla glomerulans
Alchemilla mollis
Alchemilla subcrenata
Alchemilla wichurae
Sanguisorba alpina
Sanguisorba officinalis
Sorbus aucuparia
Lupinus nootkatensis
Trifolium hybridum
Trifolium medium
Trifolium pratense
